date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:36:14	1626/1626	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-6908c4e4-b0a69df5688eef21;br%22	https://gondalinfra.com/robots.txt		(from )
16:36:14	28885/28885	---MCZ	200	added ('OK')	text/html	etag:%2270d5-6a97d882-d89fb84919dec67f;br%22	https://gondalinfra.com/	C:/My%20Web%20Sites/Gondal/gondalinfra.com/index.html	(from )
16:36:14	20884/20884	---M-Z	200	added ('OK')	text/css	etag:%225194-6a97d882-e2bd8cd59db8c490;br%22	https://gondalinfra.com/style.css	C:/My%20Web%20Sites/Gondal/gondalinfra.com/style.css	(from https://gondalinfra.com/)
16:36:15	102641/102641	---M-Z	200	added ('OK')	text/css	date:Fri,%2001%20Dec%202023%2000:32:25%20GMT	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.1/css/all.min.css	C:/My%20Web%20Sites/Gondal/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.1/css/all.min.css	(from https://gondalinfra.com/)
16:36:15	4511/4511	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22119f-6908c4e4-b0a69df5688eef21;;;%22	https://gondalinfra.com/logo.png	C:/My%20Web%20Sites/Gondal/gondalinfra.com/logo.png	(from https://gondalinfra.com/)
16:36:15	146118/146118	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Sep%202026%2011:06:15%20GMT	https://gondalinfra.com/images/transparent%20logo.png	C:/My%20Web%20Sites/Gondal/gondalinfra.com/images/transparent%20logo.png	(from https://gondalinfra.com/)
16:36:15	4511/4511	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22119f-6908c4e4-b0a69df5688eef21;;;%22	https://gondalinfra.com/building-icon.png	C:/My%20Web%20Sites/Gondal/gondalinfra.com/building-icon.png	(from https://gondalinfra.com/)
16:36:16	331324/331324	---M--	200	added ('OK')	image/jpeg	date:Fri,%2018%20Sep%202026%2011:06:16%20GMT	https://gondalinfra.com/images/1765002045232.jpeg	C:/My%20Web%20Sites/Gondal/gondalinfra.com/images/1765002045232.jpeg	(from https://gondalinfra.com/)
16:36:16	380205/380205	---M--	200	added ('OK')	image/jpeg	date:Fri,%2018%20Sep%202026%2011:06:16%20GMT	https://gondalinfra.com/images/1765109061102.jpg	C:/My%20Web%20Sites/Gondal/gondalinfra.com/images/1765109061102.jpg	(from https://gondalinfra.com/)
16:36:18	1430700/1430700	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Sep%202026%2011:06:18%20GMT	https://gondalinfra.com/images/1765197013511.png	C:/My%20Web%20Sites/Gondal/gondalinfra.com/images/1765197013511.png	(from https://gondalinfra.com/)
